id,class,reactants>reagents>production
RXN-8052,PWY-1187,[CH3:1][S:2][CH2:3][CH2:4][CH2:5]/[C:6]([S:7][CH2:10][C@H:11]([NH3+:16])[C:13](=[O:14])[O-:15])=[N:8]/[OH:9].[OH2:12]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5]/[C:6]([SH:7])=[N:8]\[OH:9].[CH3:10][C:11](=[O:12])[C:13](=[O:14])[O-:15].[NH4+:16]
RXNQT-4341,PWYQT-4471,[CH3:25][S:26](=[O:29])[CH2:2][CH2:3][CH2:4][CH2:5]/[C:6]([S:7][C@@H:8]1[O:9][C@H:10]([CH2:11][OH:12])[C@@H:13]([OH:14])[C@H:15]([OH:16])[C@H:17]1[OH:18])=[N:19]\[O:20][S:21](=[O:22])(=[O:23])[O-:24].[O:28]=[O:27]>>[H+:1].[CH2:2]=[CH:3][CH2:4][CH2:5]/[C:6]([S:7][C@@H:8]1[O:9][C@H:10]([CH2:11][OH:12])[C@@H:13]([OH:14])[C@H:15]([OH:16])[C@H:17]1[OH:18])=[N:19]\[O:20][S:21](=[O:22])(=[O:23])[O-:24].[CH3:25][S:26](=[O:27])(=[O:28])[O-:29]
RXN-9715,PWY-6024,[CH2:43]([OH:44])[C@@H:30]1[C@@H:39]([OH:40])[C@H:37]([OH:38])[C@@H:35]([OH:36])[C@@H:32]([O:29][P:45]([O:48][P:49](=[O:50])([O-:52])[O:34][CH2:33][C@H:53]2[O:54][C@@H:55]([N:60]3[CH:61]=[CH:62][C:63](=[O:64])[NH:65][C:66]3=[O:67])[C@H:56]([OH:57])[C@@H:58]2[OH:59])([O-:47])=[O:46])[O:31]1.[CH:1]1=[C:6]([C:7]2=[CH:13][C:11](=[O:12])[C:10]3=[C:14]([OH:41])[C:15]([C@@H:16]4[O:17][C@H:18]([CH2:19][OH:20])[C@@H:21]([OH:22])[C@H:23]([OH:24])[C@H:25]4[OH:26])=[C:27]([O-:51])[CH:28]=[C:9]3[O:8]2)[CH:5]=[CH:4][C:3]([OH:42])=[CH:2]1>>[CH:1]1=[C:6]([C:7]2=[CH:13][C:11](=[O:12])[C:10]3=[C:14]([OH:41])[C:15]([C@@H:16]4[O:17][C@H:18]([CH2:19][OH:20])[C@@H:21]([OH:22])[C@H:23]([OH:24])[C@H:25]4[OH:26])=[C:27]([O:29][C@@H:30]4[O:31][C@H:32]([CH2:33][OH:34])[C@@H:35]([OH:36])[C@H:37]([OH:38])[C@H:39]4[OH:40])[CH:28]=[C:9]3[O:8]2)[CH:5]=[CH:4][C:3]([OH:42])=[CH:2]1.[CH2:43]([O:44][P:45](=[O:46])([O-:47])[O:48][P:49](=[O:50])([O-:51])[O-:52])[C@H:53]1[O:54][C@@H:55]([N:60]2[CH:61]=[CH:62][C:63](=[O:64])[NH:65][C:66]2=[O:67])[C@H:56]([OH:57])[C@@H:58]1[OH:59]
RXN-8524,PWY-5414,[H+].[CH3:1][CH:2](/[C:3]1=[CH:20]/[C:19]2=[C:6]([CH2:5][CH2:4]1)[C@:7]1([CH3:21])[CH:8]([C@@:9]([CH2:13][OH:14])([CH3:16])[CH2:10][CH2:11][CH2:12]1)[CH2:17][CH2:18]2)[CH3:22].[CH:23]1=[CH:24][CH2:25][C:26]([C:27](=[O:28])[NH2:29])=[CH:30][N:31]1[C@@H:32]1[O:33][C@H:34]([CH2:39][O:40][P:41]([O:42][P:43]([O:44][CH2:45][C@@H:46]2[C@@H:47]([OH:66])[C@@H:48]([O:61][P:62]([O-:63])([O-:64])=[O:65])[C@H:49]([N:50]3[C:51]4=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]4)/[N:57]=[CH:58]\3)[O:60]2)([O-:67])=[O:68])(=[O:69])[O-:70])[C@@H:35]([OH:38])[C@H:36]1[OH:37].[O:71]=[O:15]>>[CH3:1][CH:2](/[C:3]1=[CH:20]/[C:19]2=[C:6]([CH2:5][CH2:4]1)[C@:7]1([CH3:21])[CH:8]([C@@:9]([CH:13]([OH:14])[OH:15])([CH3:16])[CH2:10][CH2:11][CH2:12]1)[CH2:17][CH2:18]2)[CH3:22].[CH:23]1=[N+:31]([C@@H:32]2[O:33][C@H:34]([CH2:39][O:40][P:41]([O:42][P:43]([O:44][CH2:45][C@@H:46]3[C@@H:47]([OH:66])[C@@H:48]([O:61][P:62]([O-:63])([O-:64])=[O:65])[C@H:49]([N:50]4[C:51]5=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]5)/[N:57]=[CH:58]\4)[O:60]3)([O-:67])=[O:68])(=[O:69])[O-:70])[C@@H:35]([OH:38])[C@H:36]2[OH:37])[CH:30]=[C:26]([C:27](=[O:28])[NH2:29])[CH:25]=[CH:24]1.[OH2:71]
RXN-18208,PWYQT-4450,[C:1]([CH:2]([CH2:3][CH2:4][CH2:5][S:6][CH3:7])[CH:8]([OH:9])[C:10](=[O:11])[O-:12])(=[O:13])[O-:14].[CH:15]1=[N+:16]([C@@H:24]2[O:25][C@H:26]([CH2:27][O:28][P:29](=[O:30])([O-:31])[O:32][P:33](=[O:34])([O-:35])[O:36][CH2:37][C@H:38]3[O:39][C@@H:40]([N:45]4/[CH:46]=[N:47]\[C:48]5=[C:54]4[N:53]=[CH:52][N:51]=[C:49]5[NH2:50])[C@H:41]([OH:42])[C@@H:43]3[OH:44])[C@@H:55]([OH:56])[C@H:57]2[OH:58])[CH:17]=[CH:18][CH:19]=[C:20]1[C:21]([NH2:22])=[O:23]>>[C:1]([CH:2]([CH2:3][CH2:4][CH2:5][S:6][CH3:7])[C:8](=[O:9])[C:10](=[O:11])[O-:12])(=[O:13])[O-:14].[CH:15]1=[C:20]([C:21]([NH2:22])=[O:23])[CH2:19][CH:18]=[CH:17][N:16]1[C@@H:24]1[O:25][C@H:26]([CH2:27][O:28][P:29](=[O:30])([O-:31])[O:32][P:33](=[O:34])([O-:35])[O:36][CH2:37][C@H:38]2[O:39][C@@H:40]([N:45]3/[CH:46]=[N:47]\[C:48]4=[C:54]3[N:53]=[CH:52][N:51]=[C:49]4[NH2:50])[C@H:41]([OH:42])[C@@H:43]2[OH:44])[C@@H:55]([OH:56])[C@H:57]1[OH:58].[H+:59]
RXN-3642,PWY-2083,[CH3:7][S+:23]([CH2:24][C@@H:25]1[C@@H:26]([OH:27])[C@@H:28]([OH:29])[C@H:30]([N:31]2[C:32]3=[C:37]([C:36]([NH2:40])=[N:35][CH:34]=[N:33]3)/[N:38]=[CH:39]\2)[O:41]1)[CH2:1][CH2:42][C@@H:43]([C:44]([O-:45])=[O:46])[NH3+:47].[CH:3]1=[CH:19][C:18]([OH:17])=[CH:10][CH:22]=[C:4]1/[C:5]1=[CH:11]\[O:21][C:15]2=[C:9]([C:6]1=[O:20])[C:8]([OH:2])=[CH:16][C:12]([O-:13])=[CH:14]2>>[CH3:1][O:2][C:3]1=[CH:19]/[C:18]2=[C:6](\[C:5]([OH:21])=[CH:4]/1)[C:7](=[O:20])[C:8]([C:9]1=[CH:15][CH:14]=[C:12]([OH:13])[CH:11]=[CH:10]1)=[CH:16][O:17]2.[CH2:22]([S:23][CH2:24][C@@H:25]1[C@@H:26]([OH:27])[C@@H:28]([OH:29])[C@H:30]([N:31]2[C:32]3=[C:37]([C:36]([NH2:40])=[N:35][CH:34]=[N:33]3)/[N:38]=[CH:39]\2)[O:41]1)[CH2:42][C@@H:43]([C:44]([O-:45])=[O:46])[NH3+:47]
RXN-19590,PWYQT-4474,[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]/[C:10]([S:11][CH2:12][C@H:13]([NH3+:14])[C:15](=[O:17])[NH:21][CH2:20][C:22]([O-:23])=[O:24])=[N:18]\[OH:19].[OH2:16]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]/[C:10]([S:11][CH2:12][C@H:13]([NH3+:14])[C:15]([O-:16])=[O:17])=[N:18]\[OH:19].[CH2:20]([NH3+:21])[C:22]([O-:23])=[O:24]
TYROSINE-N-MONOOXYGENASE-RXN,PWY-7088,[C:5]([C@H:4]([CH2:3][C:1]1=[CH:13][CH:11]=[C:12]([OH:14])[CH:10]=[CH:2]1)[NH3+:8])(=[O:6])[O-:7].[O:9]=[O:15]>>[CH:1]1=[CH:13][C:12]([OH:14])=[CH:11][CH:10]=[C:2]1[CH2:3][C@@H:4]([C:5](=[O:6])[O-:7])[NH:8][OH:9].[OH2:15].[H+:16]
RXN-14657,PWY-7298,[CH3:1][O:2][C:3]1=[CH:25][CH:24]=[C:6]([C:7]2=[CH:20][C:18](=[O:11])[C:17]3=[C:16]([OH:21])[C:13]([O:14][CH3:15])=[C:12]([O:22][CH3:23])[CH:10]=[C:9]3[O:8]2)[CH:5]=[CH:4]1>>[CH3:1][O:2][C:3]1=[CH:25][CH:24]=[C:6](/[C:7]2=[CH:20]/[C:18](=[O:19])[C:17]3=[C:9]([O:8]2)[C:10]([OH:11])=[C:12]([O:22][CH3:23])[C:13]([O:14][CH3:15])=[C:16]3[OH:21])[CH:5]=[CH:4]1
RXN-13612,PWY-5140,[CH3:49][CH2:50][CH2:51][CH2:52][CH2:53][C:54](=[O:33])[CH2:62][C:61](=[O:63])[CH2:60][C:59](=[O:64])[CH2:55][C:56](=[O:58])[S:16][CH2:15][CH2:14][NH:13][C:11](=[O:12])[CH2:10][CH2:9][NH:8][C:6](=[O:7])[C@H:4]([OH:5])[C:2]([CH3:1])([CH3:3])[CH2:17][O:18][P:19](=[O:20])([O:21][P:22](=[O:23])([O:24][CH2:25][C@@H:26]1[C@@H:30]([O:31][P:32]([O-:57])(=[O:34])[O-:35])[C@@H:29]([OH:36])[C@H:28]([N:37]2[C:38]3=[C:43]([C:42]([NH2:46])=[N:41][CH:40]=[N:39]3)/[N:44]=[CH:45]\2)[O:27]1)[O-:47])[O-:48]>>[CH3:1][C:2]([CH3:3])([C@@H:4]([OH:5])[C:6](=[O:7])[NH:8][CH2:9][CH2:10][C:11](=[O:12])[NH:13][CH2:14][CH2:15][SH:16])[CH2:17][O:18][P:19](=[O:20])([O:21][P:22](=[O:23])([O:24][CH2:25][C@H:26]1[O:27][C@@H:28]([N:37]2[C:38]3=[C:43]([C:42]([NH2:46])=[N:41][CH:40]=[N:39]3)/[N:44]=[CH:45]\2)[C@H:29]([OH:36])[C@@H:30]1[O:31][P:32]([O-:33])(=[O:34])[O-:35])[O-:47])[O-:48].[CH3:49][CH2:50][CH2:51][CH2:52][CH2:53][C:54]1=[CH:62][C:61]([OH:63])=[CH:60][C:59]([OH:64])=[C:55]1[C:56]([O-:57])=[O:58].[H+:65]
RXN-8624,PWY-5439,[CH2:1]([CH2:2][C:3]1=[CH:9][C:8](=[O:10])[C:7](=[O:11])[CH:6]=[CH:4]1)[NH3+:5]>>[CH2:1]1[CH2:2][C:3]2=[CH:9][CH:8]([OH:10])[CH:7]([OH:11])[CH:6]=[C:4]2[NH:5]1.[H+:12]
RXN-25,PWY-5,[CH2:2]([CH2:1][OH:8])[C@H:3]([NH3+:4])[C:5]([O-:7])=[O:6].[NH4+:9]>>[CH2:1]([CH2:2][C@H:3]([NH3+:4])[C:5](=[O:6])[O-:7])[O:8][NH2:9].[H+:10]
RXN-10735,PWY-6312,[H+].[CH3:19][C:25]([CH3:1])([C@@H:27]([OH:28])[C:29](=[O:30])[NH:31][CH2:32][CH2:33][C:34](=[O:35])[NH:36][CH2:37][CH2:38][S:39][C:11](=[O:12])[CH2:10][C:8](=[O:9])[O-:75])[CH2:40][O:41][P:42](=[O:43])([O:44][P:45](=[O:46])([O:47][CH2:48][C@@H:49]1[C@@H:53]([O:54][P:55]([O-:56])(=[O:57])[O-:58])[C@@H:52]([OH:59])[C@H:51]([N:60]2[C:61]3=[C:66]([C:65]([NH2:69])=[N:64][CH:63]=[N:62]3)/[N:67]=[CH:68]\2)[O:50]1)[O-:70])[O-:71]>>[CH3:1][C:2]1=[C:7]2[C:6](=[CH:5][C:4]([OH:23])=[CH:3]1)[O:22][C:11]([OH:12])([CH2:13][C:14]1=[CH:20][C:19]([O-:21])=[CH:18][C:16](=[O:17])[O:15]1)[CH2:10][C:8]2=[O:9].[CH3:24][C:25]([CH3:26])([C@@H:27]([OH:28])[C:29](=[O:30])[NH:31][CH2:32][CH2:33][C:34](=[O:35])[NH:36][CH2:37][CH2:38][SH:39])[CH2:40][O:41][P:42](=[O:43])([O:44][P:45](=[O:46])([O:47][CH2:48][C@H:49]1[O:50][C@@H:51]([N:60]2[C:61]3=[C:66]([C:65]([NH2:69])=[N:64][CH:63]=[N:62]3)/[N:67]=[CH:68]\2)[C@H:52]([OH:59])[C@@H:53]1[O:54][P:55]([O-:56])(=[O:57])[O-:58])[O-:70])[O-:71].[C:72](=[O:73])=[O:74].[OH2:75]
RXN-9643,PWY-5990,[CH3:2][CH2:3][C:4]([CH3:19])([OH:5])[C:17]#[N:18].[CH2:9]([OH:10])[C@@H:8]1[C@@H:11]([OH:12])[C@H:13]([OH:14])[C@@H:15]([OH:16])[C@@H:6]([O:21][P:22]([O:25][P:26](=[O:27])([O-:28])[O:29][CH2:20][C@H:30]2[O:31][C@@H:32]([N:37]3[CH:38]=[CH:39][C:40](=[O:41])[NH:42][C:43]3=[O:44])[C@H:33]([OH:34])[C@@H:35]2[OH:36])([O-:24])=[O:23])[O:7]1>>[H+:1].[CH3:2][CH2:3][C@@:4]([O:5][C@@H:6]1[O:7][C@H:8]([CH2:9][OH:10])[C@@H:11]([OH:12])[C@H:13]([OH:14])[C@H:15]1[OH:16])([C:17]#[N:18])[CH3:19].[CH2:20]([O:21][P:22](=[O:23])([O-:24])[O:25][P:26](=[O:27])([O-:28])[O-:29])[C@H:30]1[O:31][C@@H:32]([N:37]2[CH:38]=[CH:39][C:40](=[O:41])[NH:42][C:43]2=[O:44])[C@H:33]([OH:34])[C@@H:35]1[OH:36]
RXN-9636,PWY-5990,[CH3:1][CH2:2][C@H:3]([CH3:4])[C@H:5]([NH3+:6])[C:8](=[O:10])[O-:9].[O:7]=[O:11]>>[CH3:1][CH2:2][C@H:3]([CH3:4])[C@H:5]([NH:6][OH:7])[C:8]([O-:9])=[O:10].[OH2:11].[H+:12]
RXN-8871,PWY-5665,[C:11](=[O:13])([O-:12])/[CH:10]=[CH:1]/[C:2]1=[CH:8][CH:7]=[C:5]([OH:6])[CH:4]=[CH:3]1.[OH2:9]>>[CH:1]([C:2]1=[CH:8][CH:7]=[C:5]([OH:6])[CH:4]=[CH:3]1)=[O:9].[CH3:10][C:11]([O-:12])=[O:13]
RXN-11354,PWY-6475,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6]/[C:7]([CH3:8])=[CH:9]\[CH2:10][CH2:11]/[C:12]([CH3:13])=[CH:14]/[CH:15]=[CH:16]/[C:17]([CH3:18])=[CH:19]/[CH:20]=[CH:21]\[CH:22]=[C:23]([CH3:24])\[CH:25]=[CH:26]\[CH:27]=[C:28](\[CH3:29])[CH2:30][CH2:31]/[CH:32]=[C:33](\[CH3:34])[CH2:35][CH2:36][CH:37]=[C:38]([CH3:39])[CH3:40]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6]/[C:7]([CH3:8])=[CH:9]\[CH2:10][CH2:11]/[C:12]([CH3:13])=[CH:14]/[CH:15]=[CH:16]/[C:17]([CH3:18])=[CH:19]/[CH:20]=[CH:21]/[CH:22]=[C:23]([CH3:24])/[CH:25]=[CH:26]/[CH:27]=[C:28](/[CH3:29])[CH2:30][CH2:31]/[CH:32]=[C:33](\[CH3:34])[CH2:35][CH2:36][CH:37]=[C:38]([CH3:39])[CH3:40]
RXN-18191,PWYQT-4450,[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]/[C:9]([C:15](=[O:16])[O-:17])=[CH:10]/[C:12]([O-:14])=[O:13].[OH2:11]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH:9]([CH:10]([OH:11])[C:12](=[O:13])[O-:14])[C:15](=[O:16])[O-:17]
RXN-18441,PWY-5132,[CH3:26][C:25]([CH3:27])=[CH:24][CH2:23][O:9][P:2](=[O:1])([O-:3])[O:4][P:5](=[O:6])([O-:7])[O-:8].[CH3:10][C:11]([CH3:12])=[CH:13][CH2:14][C:15]1=[C:21]([OH:22])[C:20]([C:34]([CH2:35][CH:36]([CH3:37])[CH3:38])=[O:39])=[C:19]([OH:33])[C:18]([CH2:28][CH:29]=[C:30]([CH3:31])[CH3:32])=[C:16]1[O-:17]>>[O:1]=[P:2]([OH:3])([O:4][P:5]([O-:6])([O-:7])=[O:8])[O-:9].[CH3:10][C:11]([CH3:12])=[CH:13][CH2:14][C:15]1=[C:21]([OH:22])[C:20]([CH2:23][CH:24]=[C:25]([CH3:26])[CH3:27])([CH2:28][CH:29]=[C:30]([CH3:31])[CH3:32])[C:19](=[O:33])[C:18]([C:34]([CH2:35][CH:36]([CH3:37])[CH3:38])=[O:39])=[C:16]1[O-:17]
RXN-18745,PWY-2467,[CH2:1]1[O:2][C:3]2=[CH:10][C:9]([C:11]3=[CH:22][C:14]4=[CH:15][CH:16]=[C:17]([OH:18])[CH:19]=[C:20]4[O:21][CH2:13]3)=[C:7]([OH:8])[CH:6]=[C:4]2[O:5]1.[OH2:12]>>[CH2:1]1[O:2][C:3]2=[CH:10][C:9]([C@:11]3([OH:12])[CH2:13][C:14]4=[C:20]([CH:19]=[C:17]([OH:18])[CH:16]=[CH:15]4)[O:21][CH2:22]3)=[C:7]([OH:8])[CH:6]=[C:4]2[O:5]1
RXN-10131,PWY-6199,[CH:29]1=[C:39](/[C:40]2=[C:50](\[O:51][S:52](=[O:53])(=[O:54])[O-:55])[C:48](=[O:49])[C:47]3=[C:42]([O:41]2)[CH:43]=[C:44]([O:57][S:58](=[O:59])(=[O:60])[O-:61])[CH:45]=[C:46]3[OH:56])[CH:38]=[C:32]([OH:21])[C:31]([O:62][S:63](=[O:64])(=[O:65])[O-:66])=[CH:30]1.[CH2:1]([C@@H:2]1[C@@H:3]([O:18][P:19](=[O:20])([O-:25])[O-:22])[C@@H:4]([OH:17])[C@H:5]([N:6]2[C:7]3=[C:12]([C:11]([NH2:15])=[N:10][CH:9]=[N:8]3)/[N:13]=[CH:14]\2)[O:16]1)[O:23][P:24]([O:33][S:34]([O-:37])(=[O:35])=[O:36])([O-:26])=[O:27]>>[CH2:1]([C@@H:2]1[C@@H:3]([O:18][P:19](=[O:20])([O-:21])[O-:22])[C@@H:4]([OH:17])[C@H:5]([N:6]2[C:7]3=[C:12]([C:11]([NH2:15])=[N:10][CH:9]=[N:8]3)/[N:13]=[CH:14]\2)[O:16]1)[O:23][P:24]([O-:25])([O-:26])=[O:27].[H+:28].[CH:29]1=[C:39](/[C:40]2=[C:50](\[O:51][S:52](=[O:53])(=[O:54])[O-:55])[C:48](=[O:49])[C:47]3=[C:42]([O:41]2)[CH:43]=[C:44]([O:57][S:58](=[O:59])(=[O:60])[O-:61])[CH:45]=[C:46]3[OH:56])[CH:38]=[C:32]([O:33][S:34](=[O:35])(=[O:36])[O-:37])[C:31]([O:62][S:63](=[O:64])(=[O:65])[O-:66])=[CH:30]1
RXN-11413,PWY-601,[CH:1](\[CH2:2]/[C:3]1=[CH:11]\[NH:10][C:9]2=[C:4]1[CH:5]=[CH:6][CH:7]=[CH:8]2)=[N:12]/[OH:13].[O:14]=[O:15]>>[CH:1]([CH2:2]/[C:3]1=[CH:11]\[NH:10][C:9]2=[C:4]1[CH:5]=[CH:6][CH:7]=[CH:8]2)=[N+:12]([OH:13])[O-:14].[OH2:15]
2.1.1.94-RXN,PWY-5292,[CH3:2][S+:3]([CH2:4][C@@H:5]1[C@@H:6]([OH:7])[C@@H:8]([OH:9])[C@H:10]([N:11]2[C:12]3=[C:17]([C:16]([NH2:20])=[N:15][CH:14]=[N:13]3)/[N:18]=[CH:19]\2)[O:21]1)[CH2:43][CH2:22][C@@H:23]([C:24]([O-:25])=[O:26])[NH3+:27].[CH3:28][CH2:29][C@@:30]12/[CH:31]=[CH:32]\[CH2:33][NH+:34]3[CH2:35][CH2:36][C@@:37]4([C:38]5=[C:45]([CH:44]=[C:41]([OH:42])[CH:40]=[CH:39]5)[NH:46]/[C:47]4=[C:48](\[C:50](=[O:51])[O:52][CH3:53])[CH2:49]1)[C@H:54]23>>[H+:1].[CH2:2]([S:3][CH2:4][C@@H:5]1[C@@H:6]([OH:7])[C@@H:8]([OH:9])[C@H:10]([N:11]2[C:12]3=[C:17]([C:16]([NH2:20])=[N:15][CH:14]=[N:13]3)/[N:18]=[CH:19]\2)[O:21]1)[CH2:22][C@@H:23]([C:24]([O-:25])=[O:26])[NH3+:27].[CH3:28][CH2:29][C@@:30]12/[CH:31]=[CH:32]\[CH2:33][NH+:34]3[CH2:35][CH2:36][C@@:37]4([C:38]5=[C:45]([CH:44]=[C:41]([O:42][CH3:43])[CH:40]=[CH:39]5)[NH:46]/[C:47]4=[C:48](\[C:50](=[O:51])[O:52][CH3:53])[CH2:49]1)[C@H:54]23
RXN-11449,PWYQT-4471,[CH2:10]([OH:9])[CH2:11][CH2:12][CH2:13]/[C:14]([S:15][C@@H:16]1[O:17][C@H:18]([CH2:19][OH:20])[C@@H:21]([OH:22])[C@H:23]([OH:24])[C@H:25]1[OH:26])=[N:27]\[O:28][S:29](=[O:30])(=[O:31])[O-:32].[CH3:40][C:41]([CH3:42])([C@@H:43]([OH:44])[C:45](=[O:46])[NH:47][CH2:48][CH2:49][C:50](=[O:51])[NH:52][CH2:53][CH2:54][S:55][C:5](=[O:33])/[CH:6]=[CH:7]/[C:8]1=[CH:34][C:35]([O:38][CH3:39])=[C:36]([OH:37])[C:3]([O:2][CH3:1])=[CH:4]1)[CH2:56][O:57][P:58](=[O:59])([O:60][P:61](=[O:62])([O:63][CH2:64][C@@H:65]1[C@@H:69]([O:70][P:71]([O-:72])(=[O:73])[O-:74])[C@@H:68]([OH:75])[C@H:67]([N:76]2[C:77]3=[C:82]([C:81]([NH2:85])=[N:80][CH:79]=[N:78]3)/[N:83]=[CH:84]\2)[O:66]1)[O-:86])[O-:87]>>[CH3:1][O:2][C:3]1=[C:36]([OH:37])[C:35]([O:38][CH3:39])=[CH:34][C:5](/[CH:6]=[CH:7]/[C:8]([O:9][CH2:10][CH2:11][CH2:12][CH2:13]/[C:14]([S:15][C@@H:16]2[O:17][C@H:18]([CH2:19][OH:20])[C@@H:21]([OH:22])[C@H:23]([OH:24])[C@H:25]2[OH:26])=[N:27]\[O:28][S:29](=[O:30])(=[O:31])[O-:32])=[O:33])=[CH:4]1.[CH3:40][C:41]([CH3:42])([C@@H:43]([OH:44])[C:45](=[O:46])[NH:47][CH2:48][CH2:49][C:50](=[O:51])[NH:52][CH2:53][CH2:54][SH:55])[CH2:56][O:57][P:58](=[O:59])([O:60][P:61](=[O:62])([O:63][CH2:64][C@H:65]1[O:66][C@@H:67]([N:76]2[C:77]3=[C:82]([C:81]([NH2:85])=[N:80][CH:79]=[N:78]3)/[N:83]=[CH:84]\2)[C@H:68]([OH:75])[C@@H:69]1[O:70][P:71]([O-:72])(=[O:73])[O-:74])[O-:86])[O-:87]
RXN-8969,PWY-6540,[CH3:1]/[C:2]1=[CH:16]\[CH2:15][CH2:14]/[C:12]([CH3:13])=[CH:11]/[CH2:10][C@@H:5]([C:6]([CH2:7][OH:8])=[CH2:9])[CH2:4][CH2:3]1.[O:17]=O>>[CH3:1]/[C:2]1=[CH:16]\[CH2:15][CH2:14]/[C:12]([CH3:13])=[CH:11]/[CH2:10][C@@H:5]([C:6]([CH:7]=[O:8])=[CH2:9])[CH2:4][CH2:3]1.[OH2:17]
RXN-8023,PWY-6287,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6]/[C:7]([CH3:8])=[CH:9]\[CH2:10][CH2:11]/[C:12]([CH3:13])=[CH:14]\[CH2:15][CH2:16]/[C:17]([CH3:18])=[CH:19]\[CH:20]=[CH:21]/[CH:22]=[C:23](\[CH3:24])[CH2:25][CH2:26]/[CH:27]=[C:28](\[CH3:29])[CH2:30][CH2:31]/[CH:32]=[C:33](\[CH3:34])[CH2:35][CH2:36][CH:37]=[C:38]([CH3:39])[CH3:40]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6]/[C:7]([CH3:8])=[CH:9]\[CH2:10][CH2:11]/[C:12]([CH3:13])=[CH:14]\[CH:15]=[CH:16]\[C:17]([CH3:18])=[CH:19]/[CH:20]=[CH:21]/[CH:22]=[C:23](\[CH3:24])[CH2:25][CH2:26]/[CH:27]=[C:28](\[CH3:29])[CH2:30][CH2:31]/[CH:32]=[C:33](\[CH3:34])[CH2:35][CH2:36][CH:37]=[C:38]([CH3:39])[CH3:40]
RXN-9105,PWY-5802,[C:5]([O-:16])(=[O:18])[C:6]1=[C:7](/[OH:8])[C:9]2=[C:14](\[C:4]([OH:17])=[CH:3]/1)[CH:13]=[CH:12][CH:11]=[CH:10]2.[CH3:15][C:1](C)=[CH:2]C[O:21][P:20](=[O:19])([O-:27])[O:22][P:23](=[O:26])([O-:24])[O-:25]>>[CH:1]1=[CH:15]\[C:14]2=[C:4](\[CH:3]=[CH:2]/1)[C:5](=[O:18])[C:6]1=[C:12]([CH:11]=[CH:10][C:9]([OH:17])=[C:7]1[OH:8])[C:13]2=[O:16].[O:19]=[P:20]([OH:21])([O:22][P:23]([O-:24])([O-:25])=[O:26])[O-:27]
RXN1F-170,PWY-5035,[CH2:1]=[C:2]1[C@@:3]2([OH:4])[CH2:5][C@:6]3([CH2:7]1)[C@@H:8]([C:23]([O-:24])=[O:25])[C@@H:9]1[C@@:10]4([CH3:22])[C:11](=[O:12])[O:13][C@:14]1([CH2:15][CH2:16][CH2:17]4)[C@H:19]3[CH2:20][CH2:21]2.[CH2:26]([CH2:30][C:31]([O-:32])=[O:33])[C:27](=[O:29])[C:34]([O-:35])=[O:36].[O:28]=[O:18]>>[CH2:1]=[C:2]1[C@@:3]2([OH:4])[CH2:5][C@:6]3([CH2:7]1)[C@@H:8]([C:23]([O-:24])=[O:25])[C@@H:9]1[C@@:10]4([CH3:22])[C:11](=[O:12])[O:13][C@:14]1([CH2:15][CH2:16][C@@H:17]4[OH:18])[C@H:19]3[CH2:20][CH2:21]2.[CH2:26]([C:27]([O-:28])=[O:29])[CH2:30][C:31]([O-:32])=[O:33].[C:34](=[O:35])=[O:36]
